MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SaleType,SaleCondition,SalePrice
RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,1,3,1,Gd,6,Typ,0,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,WD,Normal,159000
RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,1,0,3,1,TA,6,Min1,0,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,COD,Abnorml,139000
RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,New,Partial,325300
RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,2,0,3,1,Gd,7,Typ,1,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,WD,Normal,230000
RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,1,0,3,1,TA,6,Typ,1,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,WD,Normal,129900
RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,1,2,0,3,1,Gd,7,Typ,1,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,WD,Normal,306000
RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,1,0,2,1,TA,6,Typ,2,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,WD,Normal,207500
RL,69.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,0,1,1,3,1,Gd,6,Typ,0,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,WD,Normal,149350
RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,0,2,0,3,1,Gd,7,Typ,0,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,WD,Normal,179900
RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,1,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,WD,Normal,277500
RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,1,0,3,1,Gd,5,Typ,0,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,WD,Abnorml,109000
RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,N,FuseP,1152,0,1152,0,2,0,2,2,Fa,6,Typ,0,Attchd,1980.0,Unf,0,0,TA,TA,N,0,0,0,0,0,WD,AdjLand,82000
RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,0,2,0,3,1,TA,6,Typ,1,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,WD,Abnorml,160000
RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,1,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,WD,Normal,319900
FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,0,2,0,3,1,Gd,7,Typ,0,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,0,0,0,WD,Normal,249700
RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,955,0,955,1,1,0,3,1,TA,6,Typ,0,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,0,0,0,WD,Normal,127000
RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,816,0,1176,0,1,0,3,1,TA,6,Typ,1,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,0,0,0,0,WD,Normal,114500
RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,2,0,1,0,1,Gd,5,Typ,1,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,72,0,0,0,WD,Normal,385000
RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,Y,SBrkr,1360,0,1360,0,1,0,3,1,TA,6,Min1,1,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,50,0,0,0,WD,Normal,130000
RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,0,2,0,3,1,TA,7,Typ,1,Attchd,1964.0,RFn,2,576,TA,TA,Y,0,0,0,0,0,WD,Normal,180500
RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,Y,SBrkr,860,860,1720,0,2,1,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2,565,TA,TA,Y,0,70,0,0,0,WD,Normal,196500
RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,Y,SBrkr,780,0,780,0,1,0,2,1,TA,4,Typ,0,Detchd,1973.0,Unf,1,352,TA,TA,Y,196,0,0,0,0,WD,Normal,124900
RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,1,3,1,Gd,5,Typ,0,Detchd,2006.0,Unf,2,576,TA,TA,Y,0,50,0,0,0,New,Partial,158000
RL,44.0,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,0,2,0,2,1,Gd,6,Typ,1,Attchd,2006.0,RFn,2,484,TA,TA,Y,120,49,0,0,0,WD,Normal,202500
RL,76.0,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,0,2,1,4,1,Gd,9,Typ,1,BuiltIn,2004.0,RFn,3,852,TA,TA,Y,192,151,0,0,0,WD,Normal,317000
RL,69.0,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,GasA,TA,Y,SBrkr,2207,0,2207,1,2,0,3,1,TA,7,Min1,1,Attchd,1970.0,RFn,2,576,TA,TA,Y,301,0,0,0,0,WD,Normal,180000
RL,72.0,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,GasA,Ex,Y,SBrkr,1479,0,1479,1,2,0,3,1,Gd,7,Typ,0,Attchd,2003.0,RFn,2,558,TA,TA,Y,144,29,0,0,0,WD,Normal,226000
RM,47.0,4608,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,747,747,GasA,TA,Y,SBrkr,747,0,747,0,1,0,2,1,TA,4,Typ,0,Attchd,1945.0,Unf,1,220,TA,TA,Y,0,0,0,0,0,WD,Normal,80000
RL,69.0,7599,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,0,280,845,GasA,TA,Y,SBrkr,845,0,845,1,1,0,2,1,TA,4,Typ,0,Detchd,1987.0,Unf,2,360,TA,TA,Y,0,0,0,0,0,WD,Normal,129500
RL,69.0,8475,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,228,Unf,0,724,952,GasA,Ex,Y,FuseA,952,0,952,0,1,0,2,1,TA,4,Typ,0,Detchd,1956.0,Unf,1,283,TA,TA,Y,0,0,0,0,0,WD,Normal,135750
RL,72.0,10778,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1768,1768,GasA,TA,N,SBrkr,1768,0,1768,0,2,0,4,2,TA,8,Typ,0,Attchd,1980.0,Unf,0,0,TA,TA,Y,0,0,0,0,0,WD,Normal,136500
RL,78.0,10206,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,468.0,TA,TA,PConc,Gd,TA,No,GLQ,33,Unf,0,1530,1563,GasA,Ex,Y,SBrkr,1563,0,1563,0,2,0,3,1,Gd,6,Typ,1,Attchd,2007.0,RFn,3,758,TA,TA,Y,144,99,0,0,0,WD,Normal,245000
RL,80.0,8892,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,66.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1065,1065,GasA,Gd,Y,SBrkr,1065,0,1065,0,1,1,3,1,TA,6,Typ,0,Detchd,1974.0,Unf,2,461,TA,TA,Y,74,0,0,0,0,COD,Normal,126500
RL,69.0,8530,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,22.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,384,384,GasA,Gd,Y,SBrkr,804,670,1474,0,2,1,3,1,TA,7,Typ,1,BuiltIn,1995.0,Fin,2,400,TA,TA,Y,120,72,0,0,0,WD,Normal,168500
FV,40.0,3951,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,76.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,612,612,GasA,Ex,Y,SBrkr,612,612,1224,0,2,1,2,1,Gd,4,Typ,0,Detchd,2009.0,RFn,2,528,TA,TA,Y,0,234,0,0,0,New,Partial,164500
RL,60.0,8070,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,588,Unf,0,402,990,GasA,Ex,Y,SBrkr,990,0,990,1,1,0,3,1,TA,5,Typ,0,Attchd,1980.0,Unf,0,0,TA,TA,Y,0,0,0,0,0,WD,Normal,123600
RL,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,Slab,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,Y,FuseA,1040,0,1040,0,1,0,2,1,TA,4,Typ,0,Detchd,1950.0,Unf,2,420,TA,TA,Y,0,29,0,0,0,WD,Normal,109900
RL,69.0,9337,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,PConc,Gd,TA,No,GLQ,648,Unf,0,176,824,GasA,Ex,Y,SBrkr,905,881,1786,1,2,1,3,1,Gd,7,Typ,0,Attchd,1997.0,RFn,2,684,TA,TA,Y,0,162,0,0,0,WD,Normal,204750
RL,78.0,10264,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,183.0,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,GasA,Ex,Y,SBrkr,1588,0,1588,0,2,0,3,1,Gd,6,Typ,0,Attchd,1999.0,RFn,2,472,TA,TA,Y,158,29,0,0,0,WD,Normal,214000
RL,73.0,10921,Pave,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,48.0,TA,TA,CBlock,TA,TA,No,Rec,520,Unf,0,440,960,GasA,TA,Y,FuseF,960,0,960,1,1,0,3,1,TA,6,Typ,0,Attchd,1965.0,Fin,1,432,TA,TA,P,120,0,0,0,0,WD,Normal,94750
RL,77.0,9320,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,569,Unf,0,381,950,GasA,Fa,Y,SBrkr,1225,0,1225,1,1,1,3,1,TA,6,Typ,0,Attchd,1980.0,Unf,0,0,TA,TA,Y,352,0,0,0,0,WD,Normal,128950
RL,69.0,10603,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200,Unf,0,410,1610,GasA,Gd,Y,SBrkr,1610,0,1610,1,2,0,3,1,Gd,6,Typ,2,Attchd,1977.0,RFn,2,480,TA,TA,Y,168,68,0,0,0,WD,Normal,205000
RL,77.0,9206,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,336.0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,741,741,GasA,TA,Y,SBrkr,977,755,1732,0,2,1,3,1,Gd,7,Typ,1,Attchd,1985.0,Fin,2,476,TA,TA,Y,192,46,0,0,0,WD,Normal,178000
RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Fa,Slab,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,Y,SBrkr,1535,0,1535,0,2,0,4,2,TA,8,Typ,0,Attchd,1979.0,Unf,2,410,TA,TA,Y,0,0,0,0,0,WD,Alloca,118964
RL,94.0,10402,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1226,1226,GasA,Ex,Y,SBrkr,1226,0,1226,0,2,0,3,1,Gd,6,Typ,0,Attchd,2009.0,RFn,3,740,TA,TA,Y,0,36,0,0,0,WD,Normal,198900
RM,60.0,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,CompShg,VinylSd,VinylSd,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,641,641,GasA,Gd,Y,SBrkr,1047,0,1047,0,1,0,2,1,TA,6,Typ,0,Detchd,1954.0,Unf,1,273,Fa,Fa,N,0,0,0,0,0,WD,Normal,100000
RL,75.0,9525,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,Fa,No,Rec,444,Unf,0,550,994,GasA,Gd,Y,SBrkr,1216,639,1855,0,2,0,4,1,TA,7,Typ,0,Attchd,1954.0,Unf,1,325,TA,TA,Y,182,0,0,0,0,WD,Normal,136900
